octave,name,frequency
2,C,65.41
2,CSharp,69.30
2,D,73.42
2,DSharp,77.78
2,E,82.41
2,F,87.31
2,FSharp,92.50
2,G,98.00
2,GSharp,103.8
2,A,110.0
2,ASharp,116.5
2,B,123.5
3,C,130.8
3,CSharp,138.6
3,D,146.8
3,DSharp,155.6
3,E,164.8
3,F,174.6
3,FSharp,185.0
3,G,196.0
3,GSharp,207.7
3,A,220.0
3,ASharp,233.1
3,B,246.9
4,C,261.6
4,CSharp,277.2
4,D,293.7
4,DSharp,311.1
4,E,329.6
4,F,349.2
4,FSharp,370.0
4,G,392.0
4,GSharp,415.3
4,A,440.0
4,ASharp,466.2
4,B,493.9
5,C,523.3
5,CSharp,554.4
5,D,587.3
5,DSharp,622.3
5,E,659.3
5,F,698.5
5,FSharp,740.0
5,G,784.0
5,GSharp,830.6
5,A,880.0
5,ASharp,932.3
5,B,987.8
6,C,1047
6,CSharp,1109
6,D,1175
6,DSharp,1245
6,E,1319
6,F,1397
6,FSharp,1480
6,G,1568
6,GSharp,1661
6,A,1760
6,ASharp,1865
6,B,1976
